[train] num_workers -> 48 (cores=56)
[train] variant=act_deeponet_ph dataset=lerobot/libero_10_image -> act_results/Long/runs/act_deeponet_ph
WARNING:lerobot.configs.policies:Device 'None' is not available. Switching to 'cuda'.
/home/user/Desktop/Ayush PH test/ACT/lang_encoder.py:40: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(layer, num_layers=n_layers)
[ramcache] est 159.9 GB for 101469 items (avail 254 GB)
[ramcache] 10000/101469  (177s)
[ramcache] 20000/101469  (327s)
[ramcache] 30000/101469  (478s)
[ramcache] 40000/101469  (628s)
[ramcache] 50000/101469  (778s)
[ramcache] 60000/101469  (929s)
[ramcache] 70000/101469  (1080s)
[ramcache] 80000/101469  (1230s)
[ramcache] 90000/101469  (1381s)
[ramcache] 100000/101469  (1513s)
[ramcache] cached 101469 items in 25.3 min
[train] params=60.71M frames=101469 batch=64 steps=30000
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
WARNING:huggingface_hub.utils._http:Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[act_deeponet_ph] step  25600 | l1=0.2029 total=0.265 phgate=active act=0.078 | VRAM=6.41GB | 0.087s/it
[act_deeponet_ph] step  25800 | l1=0.2036 total=0.254 phgate=active act=0.031 | VRAM=6.41GB | 0.081s/it
[act_deeponet_ph] step  26000 | l1=0.2037 total=0.272 phgate=active act=0.078 | VRAM=6.41GB | 0.079s/it
[act_deeponet_ph] step  26200 | l1=0.2026 total=0.269 phgate=active act=0.109 | VRAM=6.41GB | 0.084s/it
[act_deeponet_ph] step  26400 | l1=0.2024 total=0.279 phgate=active act=0.125 | VRAM=6.41GB | 0.085s/it
[act_deeponet_ph] step  26600 | l1=0.2018 total=0.263 phgate=active act=0.062 | VRAM=6.41GB | 0.082s/it
[act_deeponet_ph] step  26800 | l1=0.2005 total=0.296 phgate=active act=0.078 | VRAM=6.41GB | 0.085s/it
[act_deeponet_ph] step  27000 | l1=0.2004 total=0.244 phgate=active act=0.062 | VRAM=6.41GB | 0.084s/it
[act_deeponet_ph] step  27200 | l1=0.1984 total=0.259 phgate=active act=0.078 | VRAM=6.41GB | 0.087s/it
[act_deeponet_ph] step  27400 | l1=0.1992 total=0.265 phgate=active act=0.078 | VRAM=6.41GB | 0.085s/it
[act_deeponet_ph] step  27600 | l1=0.1985 total=0.243 phgate=active act=0.031 | VRAM=6.41GB | 0.086s/it
[act_deeponet_ph] step  27800 | l1=0.1992 total=0.281 phgate=active act=0.094 | VRAM=6.41GB | 0.083s/it
[act_deeponet_ph] step  28000 | l1=0.2000 total=0.269 phgate=active act=0.047 | VRAM=6.41GB | 0.088s/it
[act_deeponet_ph] step  28200 | l1=0.1990 total=0.309 phgate=active act=0.062 | VRAM=6.41GB | 0.078s/it
[act_deeponet_ph] step  28400 | l1=0.1975 total=0.297 phgate=active act=0.078 | VRAM=6.41GB | 0.087s/it
[act_deeponet_ph] step  28600 | l1=0.1990 total=0.248 phgate=active act=0.062 | VRAM=6.41GB | 0.083s/it
[act_deeponet_ph] step  28800 | l1=0.1955 total=0.250 phgate=active act=0.094 | VRAM=6.41GB | 0.084s/it
[act_deeponet_ph] step  29000 | l1=0.1972 total=0.316 phgate=active act=0.062 | VRAM=6.41GB | 0.081s/it
[act_deeponet_ph] step  29200 | l1=0.1977 total=0.242 phgate=active act=0.109 | VRAM=6.41GB | 0.091s/it
[act_deeponet_ph] step  29400 | l1=0.1954 total=0.296 phgate=active act=0.109 | VRAM=6.41GB | 0.088s/it
[act_deeponet_ph] step  29600 | l1=0.1953 total=0.273 phgate=active act=0.062 | VRAM=6.41GB | 0.083s/it
[act_deeponet_ph] step  29800 | l1=0.1975 total=0.310 phgate=active act=0.016 | VRAM=6.41GB | 0.089s/it
[act_deeponet_ph] step  30000 | l1=0.1949 total=0.255 phgate=active act=0.078 | VRAM=6.41GB | 0.078s/it
[ckpt] saved -> act_results/Long/runs/act_deeponet_ph/checkpoints/30000 (EMA weights)
[train] DONE act_deeponet_ph steps=30000 wall=42.8min -> act_results/Long/runs/act_deeponet_ph
