[train] num_workers -> 48 (cores=56)
[train] variant=act_deeponet dataset=lerobot/libero_object_image -> act_results_gripfix/Object/runs/act_deeponet
WARNING:lerobot.configs.policies:Device 'None' is not available. Switching to 'cuda'.
/home/user/Desktop/Ayush PH test/ACT/lang_encoder.py:40: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(layer, num_layers=n_layers)
[ramcache] est 105.6 GB for 66984 items (avail 254 GB)
[ramcache] 10000/66984  (178s)
[ramcache] 20000/66984  (331s)
[ramcache] 30000/66984  (483s)
[ramcache] 40000/66984  (636s)
[ramcache] 50000/66984  (789s)
[ramcache] 60000/66984  (941s)
[ramcache] cached 66984 items in 16.8 min
[train] params=61.80M frames=66984 batch=64 steps=30000
[act_deeponet] step  28600 | l1=0.0917 total=0.128 phgate=- act=0 | VRAM=6.44GB | 0.085s/it
[act_deeponet] step  28800 | l1=0.0909 total=0.138 phgate=- act=0 | VRAM=6.44GB | 0.083s/it
[act_deeponet] step  29000 | l1=0.0909 total=0.172 phgate=- act=0 | VRAM=6.44GB | 0.084s/it
[act_deeponet] step  29200 | l1=0.0912 total=0.157 phgate=- act=0 | VRAM=6.44GB | 0.076s/it
[act_deeponet] step  29400 | l1=0.0907 total=0.097 phgate=- act=0 | VRAM=6.44GB | 0.081s/it
[act_deeponet] step  29600 | l1=0.0901 total=0.140 phgate=- act=0 | VRAM=6.44GB | 0.080s/it
[act_deeponet] step  29800 | l1=0.0905 total=0.134 phgate=- act=0 | VRAM=6.44GB | 0.083s/it
[act_deeponet] step  30000 | l1=0.0896 total=0.164 phgate=- act=0 | VRAM=6.44GB | 0.082s/it
[ckpt] saved -> act_results_gripfix/Object/runs/act_deeponet/checkpoints/30000 (EMA weights)
[train] DONE act_deeponet steps=30000 wall=41.0min -> act_results_gripfix/Object/runs/act_deeponet
